trade_date,tcp_id,exchange_ticker,RSI_7
2024-12-24,10101354,UBL,70.26745343345634
2024-12-24,10101359,ULTRACEMCO,20.43778403569721
2024-12-24,10101363,UNIONBANK,26.676736828399612
2024-12-24,10100825,UNITDSPR,60.89025931651845
2024-12-24,10102093,VBL,40.67084838978597
2024-12-24,10101151,VEDL,21.00029187630329
2024-12-24,10101412,VOLTAS,30.4021477161051
2024-12-24,10101430,WIPRO,45.14546655218603
2024-12-24,10102907,ZOMATO,20.47840893480646
2024-12-24,10100216,ZYDUSLIFE,38.91654013018651
2024-12-24,10500001,NIFTY,20.31407866103997
